,date,Percent,Percent_Water,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,total_precipitation,mean_CH4,mean_CO2,mean_CO,precip_mm_month,Num_Days,porcentagem
0,1985,95.71958422450606,0.6104794987744429,302.68384543370615,298.0473774703628,295.1110801063756,2853.6529403529044,,,,,,
1,1986,95.59480298627022,0.6538093061971575,302.740674372992,298.1749890443757,295.2501633401842,2818.592531397713,,,,,,
2,1987,95.25699137631251,0.6626971829777791,303.8424564886186,299.1642307325985,296.0892881889837,2215.7913912286513,,,,,,
3,1988,95.12527408780494,0.6614938449883678,303.10479463657595,298.62562684173645,295.6288404752347,2821.1593526188744,,,,,,
4,1989,94.99919626938762,0.6583851855125361,302.5820600998578,298.2610719760407,295.34190628591676,2835.6280141565203,,,,,,
5,1990,95.0239979922168,0.6690928744782869,303.50271771651353,298.77296032652,295.51047539650307,2245.4143694734335,,,,,,
6,1991,94.94430712453746,0.6728688952380838,303.81040143055077,299.05903728704993,295.78110143117055,2161.3074911758035,,,,,,
7,1992,94.57159911909962,0.6705475382342918,304.3556665171892,299.4413054725554,296.0870635529538,1972.7968021650984,,,,,,
8,1993,94.37248144787584,0.6707638517834474,303.38752923103476,298.772839686842,295.64399906342146,2642.6349082223614,,,,,,
9,1994,94.4734789943707,0.6590110760927563,303.5278640729675,298.8594036700325,295.58908621624744,2524.600146163468,,,,,,
10,1995,94.05371367473472,0.65842213432475,304.18326635020355,299.2143064636566,295.9146408894491,2308.290773812229,,,,,,
11,1996,93.1107757937432,0.648095208477138,303.42410514208575,298.6882363454953,295.5229386321828,2726.727153241323,,,,,,
12,1997,92.77509358934796,0.6454319537563218,304.7975375911787,299.7398521793361,296.23395784824675,2008.6288219667679,,,,,,
13,1998,92.83395004323928,0.6400429350848212,304.4918673202951,299.6021238404404,296.3781208632415,2187.897969235358,,,,,,
14,1999,92.87359272523744,0.6709449405874217,303.60533247301817,298.6850711542513,295.3866411982727,2894.514778680937,,,,,,
15,2000,92.7253969390908,0.6430692059144217,303.3273795082723,298.42559506471883,295.2082113959946,2838.419093117416,,,,110.7183275946311,,
16,2001,92.56763245910726,0.6351022641354614,303.8223957712683,298.8227061533908,295.46259770211395,2433.864372661154,,,,168.53985828150627,138.92210304968597,38.060850150598895
17,2002,92.5227549299602,0.64931026498073,304.2423061772265,299.24326655460595,295.8666676952681,2375.9724782033327,1766.8935187323943,,135.34046676847828,161.098919276894,145.457776079589,39.85144550125726
18,2003,92.4736532892264,0.644675641289136,303.956408378455,299.0721843022961,295.7822901384159,2259.7003262306157,1757.943628436019,,100.25737374296028,161.8346748224892,139.3650275490531,38.1821993285077
19,2004,92.18826453748927,0.6481760715580719,303.89569910316624,299.00663159885875,295.74971565670046,2726.6346029444867,1761.3834240271494,,106.18996833184931,177.52394919816905,134.29302637153296,36.69208370806912
20,2005,92.07134686603962,0.6289543338806809,304.46700179141504,299.5287582669366,296.15517261548905,2611.4055527965006,1758.705861682243,,111.606284953125,171.05451663855737,152.81334691628808,41.86667038802413
21,2006,91.77903877714311,0.6195917354025238,304.1402547190449,299.2370056962463,295.83472421697763,2689.555539019159,1763.6466322727274,,100.52849623137932,176.72293026765627,135.89331456026594,37.23104508500437
22,2007,91.57776885897024,0.6017346434807982,304.2023579808473,299.2336446771581,295.6153979382665,2430.528309032256,1770.303465345622,,108.66848595724137,175.97718135401442,143.21978862528636,39.23829825350311
23,2008,91.42334558800076,0.6149985075000501,304.08894638229845,298.9930375466978,295.3366286352664,2797.4746242616925,1778.4212363913043,,100.34156569863946,196.123882546386,127.29516026951,34.78009843429235
24,2009,91.24741415556308,0.6266136615607087,304.6753094522383,299.5541201394447,295.79817472135744,2557.274019719057,1782.3533583035714,,96.19395107040816,187.68624869579014,134.3206512423291,36.800178422555916
25,2010,91.1316253093481,0.6174601688776861,305.02874494585535,299.8828216721504,296.1125185060475,2356.764199371129,1775.532455219512,,104.55410822348755,179.51062406353756,136.27666476719213,37.33607253895675
26,2011,91.22576415435104,0.6093848738167608,304.4615755713635,299.4089555121867,295.7007992898823,2618.1633512566686,1789.408851026786,,94.20884411602788,217.62350100921034,130.69285398571142,35.80626136594833
27,2012,91.29507247641368,0.6112615236982201,304.2553994201328,299.25165723313984,295.56499694314766,2272.3122866242716,1791.6670862608696,,98.93736108682432,188.17259286119625,133.08147881465854,36.36105978542583
28,2013,91.2860224861695,0.6418479203541377,304.3278297850789,299.5267441133136,296.1154079297098,2735.79238721365,1788.770874886878,,92.06291651707316,209.1601219212423,122.78590864869912,33.639974972246335
29,2014,91.11571074080192,0.633334499169611,304.75243025388636,299.69258002870083,295.9653730041295,2161.2799681975284,1802.4717536405528,,94.09579427349824,196.89484605297443,115.91526537498548,31.757606952050814
30,2015,90.73318804111572,0.6709657995445106,305.5423416670203,300.29098535696164,296.3700077778885,1799.7733028436269,1815.073240787037,399.2341339150685,106.53443767448981,131.94045801927805,150.57964058674125,41.254696051161986
31,2016,90.21195873475394,0.6687848605528404,305.09908188349146,299.9693074154735,296.285062819398,2343.5809292696454,1802.317242524272,402.96265121857925,99.50158139723185,181.3772152672053,111.56001270965533,30.480877789523316
32,2017,90.01163908396865,0.6578314872552224,305.2764710399464,299.96486656609295,296.24066692898197,2300.768799426431,1810.4832797169813,404.5986716657534,98.766684983391,184.96622508298984,123.71106227387511,33.893441718869894
33,2018,89.91578239478298,0.6356157171597699,304.4416630194607,299.39648727483313,295.844914600692,2446.317896053146,1824.092940758294,407.1276039808219,92.42473134183673,194.85894152343167,120.02631793173596,32.88392272102355
34,2019,90.08615568763942,0.610122581333931,304.52299363441443,299.53526724462205,296.0754916771239,2441.63589172703,1822.2902614563106,409.64843455342464,95.42964231319445,193.52316564816738,109.29198686840736,29.943010100933527
35,2020,88.89776429483327,0.6498341154592746,303.72392853049166,299.2345858510984,296.2318747483248,1708.4267527307352,1822.9082150777203,412.1736381065574,101.23085850553507,158.7522259577697,128.85528390918435,35.20636172382086
